index,Style,Stock,,,,,,,
19168,J0164,204.00,,,,,,,
19169,J0350,82.00,,,,,,,
19170,JNE3570,5.00,,,,,,,
19171,SET261,6.00,,,,,,,
19172,J0240,167.00,,,,,,,
19173,JNE2171,333.00,,,,,,,
19174,J0096,594.00,,,,,,,
19175,SET282,107.00,,,,,,,
19176,J0304,15.00,,,,,,,
19177,J0198,186.00,,,,,,,
19178,MEN5018,235.00,,,,,,,
19179,J0307,94.00,,,,,,,
19180,JNE3580,19.00,,,,,,,
19181,J0302,24.00,,,,,,,
19182,J0291,72.00,,,,,,,
19183,J0094,86.00,,,,,,,
19184,SET271,38.00,,,,,,,
19185,SET280,29.00,,,,,,,
19186,JNE3457,94.00,,,,,,,
19187,JNE3441,227.00,,,,,,,
19188,JNE3261,181.00,,,,,,,
19189,JNE3438,76.00,,,,,,,
19190,JNE3620,39.00,,,,,,,
19191,JNE3371,24.00,,,,,,,
19192,JNE3252,619.00,,,,,,,
19193,SET044,476.00,,,,,,,
19194,SET193,209.00,,,,,,,
19195,SET245,759.00,,,,,,,
19196,J0173,97.00,,,,,,,
19197,MEN5010,31.00,,,,,,,
19198,MEN5012,210.00,,,,,,,
19199,JNE3563,46.00,,,,,,,
19200,JNE2205,40.00,,,,,,,
19201,JNE2132,56.00,,,,,,,
19202,JNE2251,15.00,,,,,,,
19203,JNE2113,13.00,,,,,,,
19204,SET219,199.00,,,,,,,
19205,SET191,62.00,,,,,,,
19206,JNE3469,9.00,,,,,,,
19207,JNE3390,11.00,,,,,,,
19208,SET097,213.00,,,,,,,
19209,JNE3348,344.00,,,,,,,
19210,J0021,6.00,,,,,,,
19211,J0042,21.00,,,,,,,
19212,JNE3524,16.00,,,,,,,
19213,JNE3559,176.00,,,,,,,
19214,SET290,52.00,,,,,,,
19215,J0308,79.00,,,,,,,
19216,J0238,48.00,,,,,,,
19217,J0077,39.00,,,,,,,
19218,SET156,185.00,,,,,,,
19219,SET239,28.00,,,,,,,
19220,JNE2153,309.00,,,,,,,
19221,J0103,346.00,,,,,,,
19222,J0079,211.00,,,,,,,
19223,JNE3434,37.00,,,,,,,
19224,JNE3654,174.00,,,,,,,
19225,JNE3573,17.00,,,,,,,
19226,JNE3403,76.00,,,,,,,
19227,JNE3564,593.00,,,,,,,
19228,JNE3698,97.00,,,,,,,
19229,J0195,100.00,,,,,,,
19230,JNE3568,350.00,,,,,,,
19231,BTM039,62.00,,,,,,,
19232,JNE3742,399.00,,,,,,,
19233,JNE3368,970.00,,,,,,,
19234,SET158,424.00,,,,,,,
19235,SET138,25.00,,,,,,,
19236,SET274,36.00,,,,,,,
19237,J0008,1605.00,,,,,,,
19238,J0005,66.00,,,,,,,
19239,JNE3408,188.00,,,,,,,
19240,JNE3741,252.00,,,,,,,
19241,JNE3613,1584.00,,,,,,,
19242,SET184,62.00,,,,,,,
19243,SET247,108.00,,,,,,,
19244,SET130,362.00,,,,,,,
19245,MEN5017,33.00,,,,,,,
19246,J0292,22.00,,,,,,,
19247,BL050,70.00,,,,,,,
19248,BL011,24.00,,,,,,,
19249,JNE3427,18.00,,,,,,,
19250,J0010,172.00,,,,,,,
19251,SET279,193.00,,,,,,,
19252,BL014,72.00,,,,,,,
19253,J0136,388.00,,,,,,,
19254,J0013,95.00,,,,,,,
19255,JNE3762,418.00,,,,,,,
19256,JNE3738,515.00,,,,,,,
19257,J0183,10.00,,,,,,,
19258,MEN5020,24.00,,,,,,,
19259,SET277,211.00,,,,,,,
19260,JNE3703,271.00,,,,,,,
19261,J0306,105.00,,,,,,,
19262,MEN5002,114.00,,,,,,,
19263,SET128,371.00,,,,,,,
19264,J0145,17.00,,,,,,,
19265,JNE3636,372.00,,,,,,,
19266,SET218,65.00,,,,,,,
19267,SET246,217.00,,,,,,,
19268,J0043,20.00,,,,,,,
19269,SET202,3.00,,,,,,,
19270,JNE1951,148.00,,,,,,,
19271,JNE3400,89.00,,,,,,,
19272,SET223,63.00,,,,,,,
19273,JNE3561,106.00,,,,,,,
19274,JNE3607,1128.00,,,,,,,
19275,J0294,30.00,,,,,,,
19276,JNE3701,757.00,,,,,,,
19277,JNE3633,113.00,,,,,,,
19278,J0342,105.00,,,,,,,
19279,JNE3617,568.00,,,,,,,
19280,JNE3610,71.00,,,,,,,
19281,J0296,28.00,,,,,,,
19282,J0305,25.00,,,,,,,
19283,SET209,212.00,,,,,,,
19284,SET221,189.00,,,,,,,
19285,SET147,26.00,,,,,,,
19286,J0006,874.00,,,,,,,
19287,JNE3429,35.00,,,,,,,
19288,NW008,340.00,,,,,,,
19289,NW016,146.00,,,,,,,
19290,J0113,30.00,,,,,,,
19291,BTM048,126.00,,,,,,,
19292,BTM044,92.00,,,,,,,
19293,BTM036,96.00,,,,,,,
19294,J0100,24.00,,,,,,,
19295,J0102,158.00,,,,,,,
19296,J0002,581.00,,,,,,,
19297,J0303,3.00,,,,,,,
19298,JNE3539,16.00,,,,,,,
19299,BL092,152.00,,,,,,,
19300,BL020,53.00,,,,,,,
19301,BL107,49.00,,,,,,,
19302,BL084,11.00,,,,,,,
19303,BL078,8.00,,,,,,,
19304,BL030,13.00,,,,,,,
19305,NW030,53.00,,,,,,,
19306,NW014,225.00,,,,,,,
19307,J0333,71.00,,,,,,,
19308,JNE3784,138.00,,,,,,,
19309,JNE3707,171.00,,,,,,,
19310,JNE3631,28.00,,,,,,,
19311,JNE3618,209.00,,,,,,,
19312,JNE3766,233.00,,,,,,,
19313,JNE3767,641.00,,,,,,,
19314,SET297,25.00,,,,,,,
19315,JNE3770,202.00,,,,,,,
19316,J0372,317.00,,,,,,,
19317,JNE3384,151.00,,,,,,,
19318,J0167,126.00,,,,,,,
19319,JNE3611,348.00,,,,,,,
19320,J0347,82.00,,,,,,,
19321,JNE3488,19.00,,,,,,,
19322,JNE3472,33.00,,,,,,,
19323,J0101,86.00,,,,,,,
19324,SET316,113.00,,,,,,,
19325,J0003,90.00,,,,,,,
19326,SET328,302.00,,,,,,,
19327,SET384,406.00,,,,,,,
19328,SET303,235.00,,,,,,,
19329,J0369,137.00,,,,,,,
19330,SET386,126.00,,,,,,,
19331,JNE3791,320.00,,,,,,,
19332,J0159,63.00,,,,,,,
19333,J0293,27.00,,,,,,,
19334,J0298,22.00,,,,,,,
19335,SAR086,0.00,,,,,,,
19336,SAR079,0.00,,,,,,,
19337,SAR043,32.00,,,,,,,
19338,SAR044,87.00,,,,,,,
19339,SAR045,21.00,,,,,,,
19340,SAR046,105.00,,,,,,,
19341,SAR033,5.00,,,,,,,
19342,NW003,162.00,,,,,,,
19343,NW012,158.00,,,,,,,
19344,BL111,38.00,,,,,,,
19345,BL110,54.00,,,,,,,
19346,BL086,22.00,,,,,,,
19347,BL113,76.00,,,,,,,
19348,JNE3690,59.00,,,,,,,
19349,PJNE3440,11.00,,,,,,,
19350,PJ0096,12.00,,,,,,,
19351,JNE3769,126.00,,,,,,,
19352,J0086,1.00,,,,,,,
19353,J0252,41.00,,,,,,,
19354,JNE3510,64.00,,,,,,,
19355,BTM037,65.00,,,,,,,
19356,J0089,43.00,,,,,,,
19357,J0087,271.00,,,,,,,
19358,J0085,62.00,,,,,,,
19359,PJNE3423,9.00,,,,,,,
19360,PJNE3252,581.00,,,,,,,
19361,PJNE2014,23.00,,,,,,,
19362,PJNE3405,9.00,,,,,,,
19363,PJNE3404,15.00,,,,,,,
19364,PJNE3421,99.00,,,,,,,
19365,J0105,107.00,,,,,,,
19366,J0235,338.00,,,,,,,
19367,J0280,280.00,,,,,,,
19368,PJNE3568,34.00,,,,,,,
19369,PJNE3445,96.00,,,,,,,
19370,PJNE3439,11.00,,,,,,,
19371,PJNE2270,20.00,,,,,,,
19372,PJNE2100,14.00,,,,,,,
19373,NW020,76.00,,,,,,,
19374,NW036,144.00,,,,,,,
19375,J0112,20.00,,,,,,,
19376,J0345,131.00,,,,,,,
19377,NW027,44.00,,,,,,,
19378,PJNE2199,274.00,,,,,,,
19379,PSET264,167.00,,,,,,,
19380,PJNE3399,14.00,,,,,,,
19381,PJNE1906,71.00,,,,,,,
19382,SET351,232.00,,,,,,,
19383,SET345,563.00,,,,,,,
19384,SET334,271.00,,,,,,,
19385,SET329,80.00,,,,,,,
19386,SET326,324.00,,,,,,,
19387,SET325,55.00,,,,,,,
19388,J0248,69.00,,,,,,,
19389,J0132,28.00,,,,,,,
19390,J0334,92.00,,,,,,,
19391,JNE3376,183.00,,,,,,,
19392,JNE3764,359.00,,,,,,,
19393,J0332,92.00,,,,,,,
19394,J0225,273.00,,,,,,,
19395,SET295,26.00,,,,,,,
19396,SET305,117.00,,,,,,,
19397,SET319,108.00,,,,,,,
19398,JNE3630,188.00,,,,,,,
19399,SET321,359.00,,,,,,,
19400,JNE3765,741.00,,,,,,,
19401,SET336,21.00,,,,,,,
19402,JNE3550,3.00,,,,,,,
19403,JNE3776,112.00,,,,,,,
19404,JNE3781,259.00,,,,,,,
19405,J0184,49.00,,,,,,,
19406,J0337,134.00,,,,,,,
19407,JNE3558,6.00,,,,,,,
19408,JNE3777,221.00,,,,,,,
19409,JNE3795,1316.00,,,,,,,
19410,J0247,241.00,,,,,,,
19411,JNE1906,685.00,,,,,,,
19412,JNE3750,73.00,,,,,,,
19413,JNE3751,194.00,,,,,,,
19414,JNE3763,474.00,,,,,,,
19415,JNE3782,39.00,,,,,,,
19416,JNE3783,40.00,,,,,,,
19417,JNE3788,205.00,,,,,,,
19418,JNE3789,40.00,,,,,,,
19419,PJNE3363,19.00,,,,,,,
19420,PJNE3373,173.00,,,,,,,
19421,SET306,251.00,,,,,,,
19422,J0348,185.00,,,,,,,
19423,JNE3541,2.00,,,,,,,
19424,JNE3730,579.00,,,,,,,
19425,JNE3778,226.00,,,,,,,
19426,JNE3819,61.00,,,,,,,
19427,JNE3820,39.00,,,,,,,
19428,JNE3821,33.00,,,,,,,
19429,JNE3822,258.00,,,,,,,
19430,JNE3823,35.00,,,,,,,
19431,JNE3825,33.00,,,,,,,
19432,SET383,184.00,,,,,,,
19433,SET385,176.00,,,,,,,
19434,SET389,154.00,,,,,,,
19435,SET293,49.00,,,,,,,
19436,J0095,149.00,,,,,,,
19437,J0349,73.00,,,,,,,
19438,JNE1233,145.00,,,,,,,
19439,J0329,114.00,,,,,,,
19440,J0373,211.00,,,,,,,
19441,SET132,201.00,,,,,,,
19442,J0370,328.00,,,,,,,
19443,JNE3753,191.00,,,,,,,
19444,SET352,361.00,,,,,,,
19445,JNE3805,526.00,,,,,,,
19446,SET313,246.00,,,,,,,
19447,SET300,249.00,,,,,,,
19448,J0379,405.00,,,,,,,
19449,J0382,144.00,,,,,,,
19450,J0380,232.00,,,,,,,
19451,JNE3743,255.00,,,,,,,
19452,SET075,30.00,,,,,,,
19453,JNE3749,274.00,,,,,,,
19454,J0249,34.00,,,,,,,
19455,J0192,0.00,,,,,,,
19456,JNE3761,993.00,,,,,,,
19457,JNE3461,205.00,,,,,,,
19458,SET302,127.00,,,,,,,
19459,J0250,271.00,,,,,,,
19460,SET333,51.00,,,,,,,
19461,JNE3727,322.00,,,,,,,
19462,SET323,54.00,,,,,,,
19463,SET374,94.00,,,,,,,
19464,JNE3775,625.00,,,,,,,
19465,JNE3794,469.00,,,,,,,
19466,JNE3447,46.00,,,,,,,
19467,J0371,66.00,,,,,,,
19468,SET392,21.00,,,,,,,
19469,JNE3768,406.00,,,,,,,
19470,JNE3773,95.00,,,,,,,
19471,JNE3774,85.00,,,,,,,
19472,JNE3804,943.00,,,,,,,
19473,SET353,403.00,,,,,,,
19474,SET331,441.00,,,,,,,
19475,SET324,42.00,,,,,,,
19476,SET308,207.00,,,,,,,
19477,SET318,167.00,,,,,,,
19478,JNE3792,290.00,,,,,,,
19479,SET327,27.00,,,,,,,
19480,JNE09210,3.00,,,,,,,
19481,JNE3771,439.00,,,,,,,
19482,SAR070,62.00,,,,,,,
19483,CMB5,0.00,,,,,,,
19484,J0226,218.00,,,,,,,
19485,SET304,68.00,,,,,,,
19486,SET337,22.00,,,,,,,
19487,J0232,87.00,,,,,,,
19488,JNE3528,11.00,,,,,,,
19489,JNE3802,435.00,,,,,,,
19490,JNE3790,253.00,,,,,,,
19491,J0301,54.00,,,,,,,
19492,J0300,12.00,,,,,,,
19493,JNE3785,180.00,,,,,,,
19494,SET301,403.00,,,,,,,
19495,SAR050,1.00,,,,,,,
19496,SAR049,92.00,,,,,,,
19497,JNE3752,83.00,,,,,,,
19498,JNE3796,137.00,,,,,,,
19499,SET343,278.00,,,,,,,
19500,J0328,36.00,,,,,,,
19501,JNE3816,28.00,,,,,,,
19502,JNE3856,340.00,,,,,,,
19503,JNE3807,21.00,,,,,,,
19504,J0352,32.00,,,,,,,
19505,SET397,43.00,,,,,,,
19506,SET395,499.00,,,,,,,
19507,SET341,339.00,,,,,,,
19508,SET394,275.00,,,,,,,
19509,SET342,413.00,,,,,,,
19510,JNE3837,404.00,,,,,,,
19511,JNE3675,39.00,,,,,,,
19512,J0396,28.00,,,,,,,
19513,J0224,357.00,,,,,,,
19514,J0375,244.00,,,,,,,
19515,J0398,99.00,,,,,,,
19516,JNE3833,28.00,,,,,,,
19517,JNE3834,23.00,,,,,,,
19518,JNE3835,18.00,,,,,,,
19519,JNE3836,38.00,,,,,,,
19520,JNE3863,134.00,,,,,,,
19521,JNE3864,214.00,,,,,,,
19522,JNE3870,61.00,,,,,,,
19523,PSET268,160.00,,,,,,,
19524,SET315,373.00,,,,,,,
19525,SET317,179.00,,,,,,,
19526,SET339,140.00,,,,,,,
19527,SET347,25.00,,,,,,,
19528,SET348,226.00,,,,,,,
19529,SET349,20.00,,,,,,,
19530,SET350,331.00,,,,,,,
19531,SET355,93.00,,,,,,,
19532,SET358,51.00,,,,,,,
19533,SET373,429.00,,,,,,,
19534,SET375,126.00,,,,,,,
19535,SET378,35.00,,,,,,,
19536,SET380,27.00,,,,,,,
19537,SET405,214.00,,,,,,,
19538,SET409,585.00,,,,,,,
19539,SET413,193.00,,,,,,,
19540,JNE3398,42.00,,,,,,,
19541,J0354,277.00,,,,,,,
19542,PJNE3068,45.00,,,,,,,
19543,J0351,67.00,,,,,,,
19544,JNE3068,541.00,,,,,,,
19545,SAR031,0.00,,,,,,,
19546,JNE3726,188.00,,,,,,,
19547,J0344,1533.00,,,,,,,
19548,SAR027,2.00,,,,,,,
19549,SAR038,3.00,,,,,,,
19550,SAR103,9.00,,,,,,,
19551,SAR102,5.00,,,,,,,
19552,J0217,71.00,,,,,,,
19553,JNE3732,376.00,,,,,,,
19554,SET396,496.00,,,,,,,
19555,J0374,101.00,,,,,,,
19556,JNE3734,316.00,,,,,,,
19557,JNE3779,354.00,,,,,,,
19558,JNE3787,74.00,,,,,,,
19559,JNE3797,259.00,,,,,,,
19560,JNE3798,332.00,,,,,,,
19561,JNE3813,32.00,,,,,,,
19562,JNE3880,367.00,,,,,,,
19563,SET307,56.00,,,,,,,
19564,SET340,110.00,,,,,,,
19565,SET346,420.00,,,,,,,
19566,JNE3760,169.00,,,,,,,
19567,BTM043,36.00,,,,,,,
19568,SET224,162.00,,,,,,,
19569,JNE3736,174.00,,,,,,,
19570,JNE3793,475.00,,,,,,,
19571,J0133,30.00,,,,,,,
19572,J0073,40.00,,,,,,,
19573,J0228,110.00,,,,,,,
19574,J0251,164.00,,,,,,,
19575,J0399,76.00,,,,,,,
19576,SET320,36.00,,,,,,,
19577,SET322,58.00,,,,,,,
19578,SET344,89.00,,,,,,,
19579,SET363,70.00,,,,,,,
19580,SET393,38.00,,,,,,,
19581,J0254,106.00,,,,,,,
19582,JNE3780,670.00,,,,,,,
19583,SET332,415.00,,,,,,,
19584,JNE3861,169.00,,,,,,,
19585,SET204,36.00,,,,,,,
19586,PJNE3364,18.00,,,,,,,
19587,SET388,20.00,,,,,,,
19588,JNE3545,10.00,,,,,,,
19589,PJNE2171,32.00,,,,,,,
19590,J0401,36.00,,,,,,,
19591,J0397,143.00,,,,,,,
19592,SET311,409.00,,,,,,,
19593,SET372,372.00,,,,,,,
19594,JNE09187,34.00,,,,,,,
19595,SAR054,50.00,,,,,,,
19596,SAR101,2.00,,,,,,,
19597,SAR029,0.00,,,,,,,
19598,SAR105,13.00,,,,,,,
19599,SAR108,0.00,,,,,,,
19600,SAR110,14.00,,,,,,,
19601,SET376,328.00,,,,,,,
19602,J0395,45.00,,,,,,,
19603,SET338,104.00,,,,,,,
19604,JNE3270,129.00,,,,,,,
19605,JNE3465,104.00,,,,,,,
19606,JNE3515,65.00,,,,,,,
19607,JNE3602,732.00,,,,,,,
19608,JNE3720,1606.00,,,,,,,
19609,JNE3811,125.00,,,,,,,
19610,JNE3655,254.00,,,,,,,
19611,SET330,229.00,,,,,,,
19612,JNE3733,123.00,,,,,,,
19613,JNE3800,178.00,,,,,,,
19614,JNE3817,33.00,,,,,,,
19615,SET366,25.00,,,,,,,
19616,JNE3745,624.00,,,,,,,
19617,JNE3878,543.00,,,,,,,
19618,J0381,347.00,,,,,,,
19619,JNE3623,31.00,,,,,,,
19620,JNE3860,403.00,,,,,,,
19621,JNE3806,152.00,,,,,,,
19622,JNE3879,316.00,,,,,,,
19623,JAN8641,0.00,,,,,,,
19624,SET087,132.00,,,,,,,
19625,JNE3786,243.00,,,,,,,
19626,SET356,125.00,,,,,,,
19627,JNA8641,0.00,,,,,,,
19628,JAN8685,0.00,,,,,,,
19629,JAN8622,0.00,,,,,,,
19630,JAN8612,0.00,,,,,,,
19631,J0216,161.00,,,,,,,
19632,J0355,19.00,,,,,,,
19633,SET359,208.00,,,,,,,
19634,SET377,19.00,,,,,,,
19635,JAN8618,0.00,,,,,,,
19636,JAN8661,0.00,,,,,,,
19637,SET360,53.00,,,,,,,
19638,JNE3865,83.00,,,,,,,
19639,SET401,264.00,,,,,,,
19640,JAN8660,0.00,,,,,,,
19641,J0402,242.00,,,,,,,
19642,J0414,21.00,,,,,,,
19643,SET369,13.00,,,,,,,
19644,SET404,526.00,,,,,,,
19645,J0400,119.00,,,,,,,
19646,J0416,103.00,,,,,,,
19647,JNE3881,33.00,,,,,,,
19648,JNE3893,501.00,,,,,,,
19649,JNE3895,504.00,,,,,,,
19650,PSET058,12.00,,,,,,,
19651,JNE3799,79.00,,,,,,,
19652,SET361,18.00,,,,,,,
19653,SET299,393.00,,,,,,,
19654,SET433,507.00,,,,,,,
19655,JNE3810,350.00,,,,,,,
19656,J0340,131.00,,,,,,,
19657,JNE3855,116.00,,,,,,,
19658,SET364,44.00,,,,,,,
19659,JNE3891,528.00,,,,,,,
19660,JNE3892,497.00,,,,,,,
19661,JNE3894,157.00,,,,,,,
19662,JNE3869,20.00,,,,,,,
19663,PJNE3607,16.00,,,,,,,
19664,JNE3801,314.00,,,,,,,
19665,JNE3866,567.00,,,,,,,
19666,J0106,78.00,,,,,,,
19667,JNE3902,188.00,,,,,,,
19668,JNE3862,474.00,,,,,,,
19669,J0413,259.00,,,,,,,
19670,J0419,313.00,,,,,,,
19671,JNE3905,299.00,,,,,,,
19672,JAN8623,0.00,,,,,,,
19673,J0391,270.00,,,,,,,
19674,J0390,240.00,,,,,,,